perl-xml-parser 2.46-1
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.116-5
polybar 3.4.3-1
poppler 0.88.0-1
poppler-glib 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-7
potrace 1.16-2
procps-ng 3.3.16-2
progress-git 0.15.r0.gb56ae2b-1
progsreiserfs 0.3.0.5-10
protobuf 3.12.0-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulsemixer 1.5.1-1
pv 1.6.6-3
pygobject-devel 3.36.1-1
python 3.8.3-1
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-attrs 19.3.0-4
python-babel 2.8.0-4
python-beaker 1.11.0-4
python-beautifulsoup4 4.9.1-1
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.2-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docutils 0.16-1
python-feedparser 5.2.1-6
python-future 0.18.2-2
python-gobject 3.36.1-1
python-html5lib 1.0.1-7
python-idna 2.9-1
python-imagesize 1.2.0-1
python-importlib-metadata 1.6.1-1
python-jinja 2.11.2-1
python-jsonschema 3.2.0-2
python-lxml 4.5.1-1
python-mako 1.1.3-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-4
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pep517 0.8.2-1
python-pip 20.0.2-1
python-progress 1.5-3
python-protobuf 3.12.0-1
python-psutil 5.7.0-1
python-pyaudio 0.2.11-4
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pyqt5 5.15.0-3
python-pyqt5-sip 12.8.0-1
python-pyqtwebengine 5.15.0-2
python-pyrsistent 0.16.0-1
python-pytoml 0.1.21-3
python-pytz 2020.1-1
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-retrying 1.3.3-7
python-send2trash 1.5.0-4
python-setuptools 1:47.3.1-1
python-sgmllib 5.2.1-6
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-soupsieve 1.9.5-2
python-sphinx 3.1.1-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinx_rtd_theme 0.5.0-1
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-toml 0.10.1-1
python-urllib3 1.25.9-1
python-webencodings 0.5.1-4
python-wheel 0.34.2-2
python-zipp 3.1.0-1
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-backports 1.0-3
python2-cachecontrol 0.12.6-1
python2-chardet 3.0.4-5
python2-colorama 0.4.3-1
python2-configparser 4.0.2-2
python2-contextlib2 0.6.0.post1-1
python2-dbus 1.2.16-1
python2-distlib 0.3.0-1
python2-distro 1.5.0-1
python2-gobject 3.36.1-1
python2-gobject2 2.28.7-5
python2-html5lib 1.0.1-7
python2-idna 2.9-1
python2-importlib-metadata 1.6.1-1
python2-ipaddress 1.0.23-2
python2-msgpack 0.6.2-3
python2-ordered-set 3.1.1-2
python2-packaging 20.4-1
python2-pathlib2 2.3.5-1
python2-pep517 0.8.2-1
python2-pip 20.0.2-1
python2-progress 1.5-3
python2-pyparsing 2.4.7-1
python2-pytoml 0.1.21-3
python2-requests 2.23.0-1
python2-retrying 1.3.3-7
python2-scandir 1.10.0-3
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
python2-toml 0.10.1-1
python2-urllib3 1.25.9-1
python2-webencodings 0.5.1-4
python2-zipp 1:1.1.1-1
qbittorrent 4.2.5-1
qt5-base 5.15.0-3
qt5-declarative 5.15.0-1
qt5-location 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-svg 5.15.0-1
qt5-webchannel 5.15.0-1
qt5-webengine 5.15.0-2
qt5-x11extras 5.15.0-1
quazip 0.9.1-1
ranger 1.9.3-1
re2 1:20200601-1
readline 8.0.004-1
reflector 2020.3.21.2-1
rest 0.8.1-3
rhash 1.3.9-2
ripgrep 12.1.1-1
rofi 1.5.4-1
rtkit 0.13-1
rubberband 1.8.2-3
ruby 2.7.1-2
ruby-irb 1.2.4-1
ruby-reline 0.1.4-1
rubygems 3.1.3-1
run-parts 4.8.6.1-2
rustup 1.21.1-5
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
screenfetch 3.9.1-1
scrot 1.3-1
sdl2 2.0.12-1
sed 4.8-1
semver 7.3.2-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
siji-git r23.c691f20-1
slang 2.3.2-2
smbclient 4.12.3-1
snappy 1.1.8-1
sound-theme-freedesktop 0.8-4
source-highlight 3.1.9-2
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.2-1
spotify 1:1.1.10.546-4
sqlite 3.32.2-1
srt 1.4.1-2
st 0.8.3-1
startup-notification 0.12-7
steam 1.0.0.63-1
sudo 1.9.0-1
suitesparse 5.7.2-1
surface-control 0.2.5-1
surface-dtx-daemon 0.1.4-1
surface-ipts-firmware 20200402-1
sway 1:1.4-9
swaybg 1.0-3
sxiv 26-1
sysfsutils 2.1.0-11
systemd 245.6-7
systemd-libs 245.6-7
systemd-sysvcompat 245.6-7
t1lib 5.1.2-8
taglib 1.11.1-4
talloc 2.3.1-2
tar 1.32-3
task 2.5.1-2
tdb 1.4.3-2
terminus-font 4.48-1
terminus-font-otb 4.48-1
termite 15-1
termite-terminfo 15-1
testdisk 7.1-2
tevent 1:0.10.2-1
texinfo 6.7-3
texlive-bin 2020.54586-3
thin-provisioning-tools 0.8.5-3
thunar 1.8.15-1
tmux 3.1_b-1
trayer 1.1.8-2
tree 1.8.0-2
tslib 1.21-2
ttf-cascadia-code 1910.04-1
ttf-code2002 2005.04.05-1
ttf-dejavu 2.37-3
ttf-fira-code 5.2-1
ttf-hanazono 20170904-3
ttf-inconsolata 1:3.000-2
ttf-inconsolata-g 20090213-3
ttf-input 20191031-1
ttf-joypixels 5.5.0-3
ttf-linux-libertine 5.3.0-5
ttf-meslo 1.2.1-1
ttf-monoid 0.61-4
ttf-mplus TESTFLIGHT_063a-1
ttf-profont-iix 1.0.0-2
ttf-symbola 13.00-7
tudu 0.10-1
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udisks2 2.9.0-1
ufetch-git 1:r157.372f51b-1
uim 1.8.8-5
unibilium 2.1.0-2
unicode-character-database 13.0.0-1
unicode-emoji 13.0-2
usbutils 012-2
util-linux 2.35.2-1
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
vi 1:070224-4
vid.stab 1.1-3
vlc 3.0.11-1
vmaf 1.5.1-1
volume_key 0.3.12-3
vte-common 0.60.3-1
vulkan-icd-loader 1.2.141-1
vulkan-intel 20.1.1-1
wavemon 0.9.1-1
wavpack 5.3.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-2
webrtc-audio-processing 0.3.1-2
weechat 2.8-2
wget 1.20.3-3
which 2.21-5
whois 5.5.6-1
wildmidi 0.4.3-2
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
wlroots 0.10.1-1
wmctrl 1.07-5
woeusb-git 3.3.1.r1.g7171bff-1
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
wxgtk-common 3.0.5.1-1
